exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,ratio
bot->ton,47,ogni_batch_int,1,0.053,0.9167905614687166,1,32,20.0
bot->ton,47,martingala_int,1,0.053,0.9167905614687166,0,0,20.0
bot->ton,47,statico,2,0.105,0.9001948182348286,0,0,20.0
bot->ton,47,ogni_batch_int,2,0.105,0.9001948182348286,2,64,20.0
bot->ton,47,martingala_int,2,0.105,0.9001948182348286,0,0,20.0
bot->ton,47,statico,3,0.158,0.8780663258951245,0,0,20.0
bot->ton,47,ogni_batch_int,3,0.158,0.8780663258951245,3,96,20.0
bot->ton,47,martingala_int,3,0.158,0.8780663258951245,1,32,20.0
bot->ton,47,statico,4,0.211,0.8734337080716792,0,0,20.0
bot->ton,47,ogni_batch_int,4,0.211,0.6498358324458863,4,128,20.0
