exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
bot->ton,44,"KAN(cat,ML)",0.7438548408189117,0.7579314914029173,0.8045940451308036,0.9999354368014627,0.72582,0.7618896816378234,1.1721352979706647,0.0,21.7,0.5415107624050719,0.5095582286097502,0.5
bot->ton,44,DecisionTree(d=5),0.4632807252100371,0.7537165573790852,0.684289846190148,0.9996780630161431,0.82362,0.10294145042007415,0.06890130353817511,0.5,0.1,0.5,0.5,0.5
bot->ton,44,LightGBM,0.6967237218010096,0.8048131878442404,0.7688754478617512,0.9999532806807044,0.77062,0.6228274436020194,0.07264569614580507,0.5,2.8,0.5403482291686071,0.7391264115174208,0.5
bot->ton,44,XGBoost,0.6614598073806375,0.7073084395472017,0.7334335450159275,0.9999445345428495,0.53264,0.790279614761275,0.718737006187439,0.5,1.9,0.5251792392714989,0.6783942634575859,0.5
bot->ton,44,MLP(16),0.7397801673466093,0.7435831943021429,0.5981118362797514,0.9997943558843049,0.56686,0.9127003346932185,0.3793241519664014,0.5,2.9,0.5111695642157684,0.7399861291704699,0.5
bot->ton,45,"KAN(cat,1L)",0.5778067830951982,0.8337217192923629,0.7998400046571412,0.9992141661062985,0.83478,0.3208335661903964,-1.4742761227411132,0.0,3.4,0.5313366122712567,0.5153933524586601,0.5251532586948827
bot->ton,45,"KAN(cat,ML)",0.8818322588997969,0.8947204432977527,0.8876278606334955,0.9999452817003548,0.94058,0.8230845177995939,-1.19343471005178,0.0,21.3,0.5421360004470855,0.5067127428699167,0.5
bot->ton,45,DecisionTree(d=5),0.451684177021044,0.7379682747464962,0.6561068453767006,0.9997845549358544,0.82488,0.07848835404208813,0.06542056074766363,0.5,0.1,0.5,0.5,0.5
bot->ton,45,LightGBM,0.6799238466123955,0.8230685686431574,0.7756751847022223,0.9999520061179015,0.79842,0.5614276932247909,0.0005600500904174822,0.5,2.6,0.5428974667635352,0.5,0.5
bot->ton,45,XGBoost,0.7100145156262614,0.790355882279888,0.7569531970343325,0.999947962677285,0.53896,0.8810690312525227,0.6865108609199524,0.5,1.7,0.5201737904783195,0.7147908155585776,0.5
bot->ton,45,MLP(16),0.7294097713033165,0.7439806605068211,0.5954294565426625,0.9997718093078245,0.5692,0.889619542606633,0.29442487121103583,0.5,2.9,0.49993192700086314,0.7295185521258298,0.5
bot->ton,46,"KAN(cat,1L)",0.6121975759890216,0.8339850753525456,0.8563170332147314,0.9993032097007416,0.97322,0.25117515197804313,-1.1004993348583434,0.0,3.3,0.5567845346894928,0.5105303238265556,0.5265979820296443
bot->ton,46,"KAN(cat,ML)",0.5627521750712543,0.6898672673757941,0.6407780836795142,0.9999560056080764,0.81342,0.3120843501425085,-2.4005508422851562,0.0,21.4,0.543228857510106,0.5,0.5
