exp,seed,regola,budget,normali_selezionate,q_conformal,bal_partenza,bal_acc,esito
ton->bot,42,strat_z,512,1,0.34229146979638536,0.5531270079198045,0.7520854348893138,ok
ton->bot,42,conformal,512,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal_top,512,21,0.34229146979638536,0.5531270079198045,0.840434520348468,ok
ton->bot,42,misto,512,21,0.34229146979638536,0.5531270079198045,0.7628179417183911,ok
ton->bot,42,adattiva,512,21,0.34229146979638536,0.5531270079198045,0.9517292598683942,ok
ton->bot,42,bilanciato,512,256,0.34229146979638536,0.5531270079198045,0.9710788103495135,ok
ton->bot,43,casuale,8,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,margine,8,8,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,strat_z,8,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal,8,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal_top,8,8,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,misto,8,4,0.3786840686473053,0.5698984963894062,0.6569092774019423,ok
ton->bot,43,adattiva,8,4,0.3786840686473053,0.5698984963894062,0.7426072959535238,ok
ton->bot,43,bilanciato,8,4,0.3786840686473053,0.5698984963894062,0.9293771413061589,ok
ton->bot,43,casuale,32,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,margine,32,16,0.3786840686473053,0.5698984963894062,0.8945322555739592,ok
ton->bot,43,strat_z,32,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal,32,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal_top,32,16,0.3786840686473053,0.5698984963894062,0.8945322555739592,ok
ton->bot,43,misto,32,16,0.3786840686473053,0.5698984963894062,0.8179235078078237,ok
ton->bot,43,adattiva,32,16,0.3786840686473053,0.5698984963894062,0.888728821101767,ok
ton->bot,43,bilanciato,32,16,0.3786840686473053,0.5698984963894062,0.9276489225343149,ok
ton->bot,43,casuale,128,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,margine,128,19,0.3786840686473053,0.5698984963894062,0.8297733545383466,ok
ton->bot,43,strat_z,128,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal,128,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal_top,128,19,0.3786840686473053,0.5698984963894062,0.8297733545383466,ok
ton->bot,43,misto,128,16,0.3786840686473053,0.5698984963894062,0.8927580384598071,ok
ton->bot,43,adattiva,128,17,0.3786840686473053,0.5698984963894062,0.9360183813700502,ok
ton->bot,43,bilanciato,128,64,0.3786840686473053,0.5698984963894062,0.950541194505159,ok
ton->bot,43,casuale,512,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,margine,512,22,0.3786840686473053,0.5698984963894062,0.8564761360538111,ok
ton->bot,43,strat_z,512,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal,512,0,0.3786840686473053,0.5698984963894062,,fallita: una sola classe
ton->bot,43,conformal_top,512,22,0.3786840686473053,0.5698984963894062,0.8564761360538111,ok
ton->bot,43,misto,512,22,0.3786840686473053,0.5698984963894062,0.8456129522226691,ok
ton->bot,43,adattiva,512,22,0.3786840686473053,0.5698984963894062,0.8377055208247923,ok
ton->bot,43,bilanciato,512,256,0.3786840686473053,0.5698984963894062,0.9668125261339433,ok
ton->bot,44,casuale,8,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,margine,8,8,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,strat_z,8,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal,8,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal_top,8,8,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
